Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:1007
1fe15210-4490-58b0-a38c-bb0386e98482,,ACT-RHD:1_emergent_24_hours,1: emergent (24 hours),,,Misc,N/A,,,
33bf504a-15f2-5504-9bdc-ddded0b5eb00,,ACT-RHD:2_urgent_60_days_2_months,2: urgent (60 days/2 months),,,Misc,N/A,,,
2666bf97-7400-57c7-b535-7903e22ced34,,ACT-RHD:3_elective_180_days_6_months,3: elective (180 days/6 months),,,Misc,N/A,,,
323cdabc-ba7b-5c38-9cb8-c2690f0f44db,,ACT-RHD:anomalous_pulmonary_vein_repair,Anomalous pulmonary vein repair,,,Procedure,N/A,,,
f114270e-e6c2-5ab8-b484-b62b105d441d,,ACT-RHD:aortic_coarctation_repair,Aortic coarctation repair,,,Procedure,N/A,,,
cd9c582a-71f9-5441-97a8-6d50d7dc15c8,,ACT-RHD:aortic_valve_repair_replacement,Aortic valve repair/replacement,,"live spells this 'Aortic valve repair / replacement' (spaces around slash) -- kept the FSN as-is 2026-09-16 to avoid breaking the other questions (Interventional Recommendation(s), Cardiac surgery type) that already reference this concept by this exact name; the ampathform JSON label is what actually renders to users, so it carries the live spacing there instead",Procedure,N/A,,,
69678122-dc66-5b8a-93bc-3358d241ad1b,,ACT-RHD:aortic_valvuloplasty,Aortic valvuloplasty,,,Procedure,N/A,,,
02ce0f4b-7793-52c3-9830-6f16bafac564,,ACT-RHD:aortopulmonary_shunt,Aortopulmonary shunt,,,Procedure,N/A,,,
912d50cd-d1b8-53de-9f74-df1446aa35fa,,ACT-RHD:arterial_switch,Arterial switch,,,Procedure,N/A,,,
d8d6a848-70c0-5f93-ba8d-0bd5a45b4868,,ACT-RHD:atrial_septal_defect_closure,Atrial septal defect closure,,,Procedure,N/A,,,
823c07d2-aed4-54cc-9274-11f176927a59,,ACT-RHD:atrial_septal_defect_device_closure,Atrial septal defect device closure,,,Procedure,N/A,,,
a70a1179-acf1-56d4-9856-760a3aaf3add,,ACT-RHD:atrial_septal_defect_repair,Atrial septal defect repair,,,Procedure,N/A,,,
a0069775-61c7-544c-8be2-d1948d78add6,,ACT-RHD:atrial_septostomy,Atrial septostomy,,,Procedure,N/A,,,
1d506ef8-457f-5b9e-9bef-6fe58710c351,,ACT-RHD:atrioventricular_septal_defect_repair,Atrioventricular septal defect repair,,,Procedure,N/A,,,
2574901c-bc82-57a5-84da-831e696abea6,,ACT-RHD:balloon_atrial_septostomy,Balloon atrial septostomy,,,Procedure,N/A,,,
91a4d13f-4bc8-54b0-a107-f4ab84cb7d60,,ACT-RHD:catheterization,Catheterization,,,Misc,N/A,,,
f72ea691-f09f-591b-b383-27160fe4a41f,,ACT-RHD:coarctation_balloon_stent_angioplasty,Coarctation balloon/Stent angioplasty,,"live spells this 'Coarctation balloon / stent angioplasty' -- kept the FSN as-is 2026-09-16 to avoid breaking the other question (Interventional Recommendation(s)) that already references this concept by this exact name; the ampathform JSON label carries the live spelling instead",Procedure,N/A,,,
fcef8402-70b4-5789-a841-80cbdf1ea1c7,,ACT-RHD:coronary_artery_stent,Coronary artery stent,,,Procedure,N/A,,,
409a8f23-38a2-5cb2-9cff-1f67a74b7092,,ACT-RHD:diagnostic_cardiac_catheterization,Diagnostic cardiac catheterization,,,Procedure,N/A,,,
64cce236-0e71-505c-a0ce-3f1dc4475787,,ACT-RHD:double_outlet_right_ventricular_repair,Double outlet right ventricular repair,,,Procedure,N/A,,,
f9e45c35-1bff-544b-ab25-2cc0c2336d27,,ACT-RHD:fontan,Fontan,,,Procedure,N/A,,,
642fe2f0-52b8-5ea9-8e8c-1ec6e33ca2b4,,ACT-RHD:glenn,Glenn,,,Procedure,N/A,,,
af9429ff-1b76-55f3-81ca-a9f775d93fb4,,ACT-RHD:mitral_balloon_valvuloplasty,Mitral balloon valvuloplasty,,,Procedure,N/A,,,
7af8595d-407e-5705-bd8a-812735e2f188,,ACT-RHD:mitral_valve_repair_replacement,Mitral valve repair/replacement,,"live spells this 'Mitral valve repair / replacement' -- kept the FSN as-is 2026-09-16 to avoid breaking the other questions (Interventional Recommendation(s), Cardiac surgery type) that already reference this concept by this exact name; the ampathform JSON label carries the live spacing instead",Procedure,N/A,,,
aca1be99-d090-5078-be63-81353ae89195,,ACT-RHD:mitral_valvuloplasty,Mitral valvuloplasty,,,Procedure,N/A,,,
13a0d832-9e52-5305-9631-58f2e21793f5,,ACT-RHD:pacemaker_placement,Pacemaker placement,,,Procedure,N/A,,,
19431c5a-4b52-5353-9fb3-a21096ed5ad1,,ACT-RHD:pacemaker_replacement,Pacemaker replacement,,,Procedure,N/A,,,
e027966c-0be2-5bb6-beda-27f3a9fbbdff,,ACT-RHD:patent_ductus_arteriosus_closure,Patent ductus arteriosus closure,,,Procedure,N/A,,,
f722f718-ccfe-5c37-8cdd-c026abc20159,,ACT-RHD:patent_ductus_arteriosus_closure_ligation,Patent ductus arteriosus closure/ligation,,,Procedure,N/A,,,
2f22d53b-e5d4-5799-aa8c-0524871f66f2,,ACT-RHD:patent_ductus_arteriosus_ligation,Patent ductus arteriosus ligation,,,Procedure,N/A,,,
f6be7d34-9bc7-55fd-b8a5-eaa306e2f175,,ACT-RHD:patent_ductus_arteriosus_stent,Patent ductus arteriosus stent,,,Procedure,N/A,,,
7fd8b076-60c7-5103-83c4-6b15f1dd5930,,ACT-RHD:pericardiectomy,Pericardiectomy,,,Procedure,N/A,,,
305a891f-052c-5d45-b816-9c7ffe103a1d,,ACT-RHD:pulmonary,Pulmonary,,,Procedure,N/A,,,
8f1c655d-9757-523f-b140-09c725a42fee,,ACT-RHD:pulmonary_arterioplasty,Pulmonary arterioplasty,,,Procedure,N/A,,,
