Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:2004
9c43bbda-3fe2-59b8-8566-1989f1350729,,ACT-RHD:q_assent,Assent,,,Question,Date,,,
a9a5f14a-984c-5351-a98b-94e4ab4a57e4,,ACT-RHD:q_consent,Consent,,,Question,Date,,,
26bfdcb1-ea0a-58ac-ace9-6e7abb00383b,,ACT-RHD:q_name_of_person_consenting,Name of person consenting,,,Question,Text,,,
f583bdb7-d010-5f68-a772-035e2a965684,,ACT-RHD:q_reason_for_completiong,Reason for completiong,,,Question,Coded,Final visit; Withdrawn from study; 7dc37c9e-1725-11ed-861d-0242ac120002; 159AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
df495209-b144-521b-b35a-8314872f538d,,ACT-RHD:q_relation_of_person_consenting,Relation of person consenting,,,Question,Coded,Mother; Father; Grandmother; Grandfather; Aunt; Uncle; Other legal guardian; Self,,
13ff5409-eda2-5fb9-9dde-95cc4afb75d3,,ACT-RHD:q_study_completion,Study Completion,,,Question,Date,,,
1ba73207-ba91-5279-a078-f2be8d4b03fd,,ACT-RHD:q_study_name,Study Name,,,Question,Coded,National RHD registry (Mak SOMREC 2013-072); ADD-RHD ACT decentralization (Mak-SOMREC-2021-61),,
5f63f9aa-dfe2-5500-810e-0a045f3406bc,,ACT-RHD:q_research_opt_in,Would You Like to Be Considered for Research,,,Question,Coded,"cf82933b-3f3f-45e7-a5ab-5d31aaee3da3; 488b58ff-64f5-4f8a-8979-fa79940b1594",,
3b3bccf8-5bf9-5cce-94a8-480c6695c14b,,ACT-RHD:q_text_it_settings_opt_in,Text-It Settings Opt-In,,"backs the Text-It Settings person attribute type as a Coded concept 2026-09-21, so the patient registration app's CodedPersonAttributeField can render it (that component only supports Concept-format attributes backed by a concept with a real answer list, not java.lang.Boolean)",Question,Coded,"cf82933b-3f3f-45e7-a5ab-5d31aaee3da3; 488b58ff-64f5-4f8a-8979-fa79940b1594",,
0f17c1a8-074a-581c-9a16-647315bbb12e,,ACT-RHD:q_consent_given,Consent Given,,"backs the Consent Given person attribute type as a Coded concept 2026-09-21, so the patient registration app's CodedPersonAttributeField can render it (that component only supports Concept-format attributes backed by a concept with a real answer list, not a free-typed Yes/No string)",Question,Coded,"cf82933b-3f3f-45e7-a5ab-5d31aaee3da3; 488b58ff-64f5-4f8a-8979-fa79940b1594",,
