Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Allow decimals,Answers,_version:1,_order:2007
8e0a8feb-0ac5-5670-b92e-9ae0d0008520,,ACT-RHD:q_anaesthesia,Anaesthesia (RHD),,"form label changed to Anesthesia Type 2026-09-16 to match live wording, but FSN kept distinct -- 'Anesthesia Type' collides with an existing dictionary concept (3017f680-5c3c-4f7b-94e1-6afda9e07eaf) that has an incompatible nerve-block answer set",Question,Coded,,Conscious sedation; General anaesthesia,,
86c4348a-1ec0-5ca2-a9a6-15f0f282cb95,,ACT-RHD:q_bacterial_sepsis,Bacterial Sepsis,,,Question,Boolean,,,,
27dbb0d6-100e-5696-b7ea-6ed036c40735,,ACT-RHD:q_brief_summary_of_catheterization,Brief Summary of Catheterization,,,Question,Text,,,,
14015b12-3f8b-535e-9cc6-dc935f4c854f,,ACT-RHD:q_cardiac_catheterization_type,Cardiac catheterization type,,,Question,Coded,,Diagnostic catheterization; Mitral balloon valvuloplasty; 5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
24a11c85-8500-5dc7-856c-3432bc88fe55,,ACT-RHD:q_cardiac_surgery_type,Cardiac surgery type,,,Question,Coded,,Mitral valve repair/replacement; Aortic valve repair/replacement; 5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
bb4a77ee-836a-57e7-a262-632fa22288d2,,ACT-RHD:q_catheterization_type_s,Catheterization Type(s),,expanded to full 18-option live answer set 2026-09-16,Question,Coded,,Aortic valvuloplasty; Atrial septal defect closure; Atrial septal defect device closure; Atrial septostomy; Balloon atrial septostomy; Coarctation balloon/stent angioplasty; Coronary artery stent; Diagnostic cardiac catheterization; Mitral balloon valvuloplasty; Mitral valvuloplasty; Pacemaker placement; Patent ductus arteriosus closure; Patent ductus arteriosus ligation; Patent ductus arteriosus stent; Pulmonary; Pulmonary artery balloon/stent angioplasty; Pulmonary valvuloplasty; Ventricular septal defect closure; Other (with field to complete),,
8a9146f7-186c-55b2-a8df-c5ed70d12ac5,,ACT-RHD:q_date_recommendation_made,Date Recommendation Made,,,Question,Date,,,,
d4317b82-5d37-5b59-ac32-4922f18cd65b,,ACT-RHD:q_date_of_hospital_discharge,Date of Hospital Discharge,,,Question,Date,,,,
605c542b-e3b8-5488-87e7-86f976ded9a5,,ACT-RHD:q_date_of_intervention,Date of Intervention,,,Question,Date,,,,
49f9238d-2ca4-5efd-a5cb-f00a0b44828d,,ACT-RHD:q_date_of_patient_follow_up_contact,Date of Patient Follow-up Contact,,,Question,Date,,,,
d81dfd3d-a882-5451-815d-ae6e98c291af,,ACT-RHD:q_describe,Describe,,,Question,Text,,,,
445ebd06-b013-5afd-a59c-c82c80748ae7,,ACT-RHD:q_describe_the_patient_s_current_condition,Describe the patient's current condition,,,Question,Text,,,,
2075f5e4-b8e5-50c1-83d7-81234fff3653,,ACT-RHD:q_how_was_the_patient_contacted,How was the patient contacted?,,,Question,Text,,,,
5b409279-ec02-50a9-8d68-9953f526beeb,,ACT-RHD:q_icu_stay,ICU Stay,,,Question,Numeric,,,,
a5c71d6d-240c-535e-afa8-371a6c0e3a79,,ACT-RHD:q_indication_for_surgery,Indication for Surgery,,,Question,Coded,,Routine/Surveillance; Clinical Change/Findings; Urgent/Emergent; Other (with field to complete),,
