location,Login Location,Visit Location,Queue Location
Uganda Heart Institute Tertiary,true,true,true
Anyeke HCIV - Oyam,true,true,true
Acimi HCIII,true,true,true
Kitgum General Hospital,true,true,true
Akunalaber HCIII,true,true,true
Lira Regional Referral Hospital,true,true,true
Amach HCIV,true,true,true
Gulu Regional Referral Hospital,true,true,true
Angaya HCIII,true,true,true
Apala HCIII,true,true,true
Tororo General Hospital,true,true,true
Atangi HCIII,true,true,true
Aywee HCIII,true,true,true
Bardege HCIII,true,true,true
Di Cunyi HCIII,true,true,true
Iceme HCIII,true,true,true
Iyolwa HCIII,true,true,true
JCRC Lubowa,true,true,true
Kirewa HCIII,true,true,true
Kisoko HCIII,true,true,true
Kisoro District Hospital,true,true,true
Kitgum-Matidi HCIII,true,true,true
Kiyeyi HCIII,true,true,true
Kwapa HCIII,true,true,true
Laroo HCIII,true,true,true
Loborom HCIII,true,true,true
Loro HCIII,true,true,true
Malaba HCIV,true,true,true
Mbarara Regional Referral Hospital,true,true,true
Mella HCIII,true,true,true
Merikit HCIII,true,true,true
Mollo HCIII,true,true,true
Mucwini HCIII,true,true,true
Mudakori HCIII,true,true,true
Mukujju HCIV,true,true,true
Mulanda HCIV,true,true,true
Nagongera HCIV,true,true,true
Namokora HCIV,true,true,true
New Life Medical Center,true,true,true
Ngai HCIII,true,true,true
Ober HCIV,true,true,true
Ogur HCIV,true,true,true
Okidi HCIII,true,true,true
Omiya Anyima HCIII,true,true,true
Orom HCIII,true,true,true
Osukuru HCIII,true,true,true
Uganda Heart Institute - District,true,true,true
Otwal HCIII,true,true,true
Pajimo HCIII,true,true,true
Pandwong HCIII,true,true,true
Panyangasi HCIII,true,true,true
Paya HCIII,true,true,true
Peta HCIII,true,true,true
Petta HCIII,true,true,true
Poyameri HCIII,true,true,true
St. Francis Mutolere Hospital,true,true,true
St. Joseph's Hospital,true,true,true
