Uuid,Void/Retire,Name,Description,Format,Searchable,_order:5030
ea3cb7ae-ffbe-5aee-8343-44977898f675,,Phone Owner,"Name of the person who owns the primary phone; often a family member, not the patient",java.lang.String,false,
b36b2e80-c1ad-5417-84fc-89075904a089,,Phone Owner Relationship,"Relationship of the phone owner to the patient (Mother, Father, Patient / Self, ...)",java.lang.String,false,
9b054d06-b812-5d57-b057-2e1b0338a888,,WhatsApp Available,Whether the primary phone can receive WhatsApp messages,java.lang.Boolean,false,
d6764a78-a775-501e-b2ce-8b8bd431fd74,,Telegram Available,Whether the primary phone can receive Telegram messages,java.lang.Boolean,false,
e15bf9b7-249e-5d75-907d-937b8d9b0c46,,Consent Given,"Whether registry consent was given -- Concept format 2026-09-21, backed by the coded Consent Given concept (0f17c1a8-074a-581c-9a16-647315bbb12e) with a Yes/No answer set, so the value is a real coded answer rather than a free-typed string",org.openmrs.Concept,false,
b29617e3-c49e-5893-8dc7-e06b125a0264,,Consent Date,"Date registry consent was recorded -- String format (not java.util.Date) 2026-09-21 because the patient registration app's PersonAttributeField only handles String/Concept/Location formats, not Date",java.lang.String,false,
a8ff9d47-dcdc-579a-a9b3-1d883c4d344b,,Consent Person,"Person who gave consent, if not the patient",java.lang.String,false,
6f23207c-5481-5f5e-9c78-7aa1f585dfc6,,School,"School attended, where the patient is a child",java.lang.String,false,
fe261119-2911-5b36-be40-8f9827826987,,Assigned Cardiac Clinic,"Cardiac clinic the patient is assigned to for RHD follow-up care; found on live ACT registry's Create a Patient screen 2026-09-21, missing locally -- Location format so the registration screen's location picker resolves to a real Location reference, not a free-typed string; moved off the RHD Patient Information AMPATH form 2026-09-21 onto patient registration since esm-form-engine-lib's personAttribute adapter has a FHIR-extension-URL mismatch bug that prevents saved values from ever pre-filling on reopen",org.openmrs.Location,false,
68b50c5e-250e-5dab-bd34-fb007756a7ed,,Text-It Settings,"Whether the patient is opted in to Text-It SMS reminders; found on live ACT registry's Create a Patient screen 2026-09-21, missing locally -- Concept format (not java.lang.Boolean) 2026-09-21, backed by the coded Text-It Settings Opt-In concept (3b3bccf8-5bf9-5cce-94a8-480c6695c14b) with a Yes/No answer set, because the patient registration app's PersonAttributeField only handles String/Concept/Location formats, not Boolean, and Concept format itself requires a Coded-datatype concept with a real answer list to render",org.openmrs.Concept,false,
